G1
6.	 a  b:	0.4375
7.	 b  e:	0.30078125
8.	 a  e:	0.30078125
9.	 c  d:	0.328125
10.	 b  a:	0.4375
11.	 a  a:	0.4375
12.	 a  d:	0.328125
13.	 a  c:	0.4375
14.	 b  b:	0.4375
15.	 c  c:	0.4375
16.	 c  a:	0.4375
G23
1.	 c  f:	0.82112
2.	 b  d:	0.74
3.	 c  e:	0.264
4.	 a  b:	0.3
5.	 b  f:	0.35437
6.	 e  f:	0.4
7.	 b  e:	0.15073
8.	 a  f:	0.59866
9.	 a  c:	0.754
10.	 b  c:	0.6
11.	 d  e:	0.1
12.	 c  d:	0.8
13.	 d  f:	0.04
14.	 a  d:	0.45079
15.	 a  e:	0.18517
